Event,Region,Game,VOD,Bracket,Phase,1,2,3,4
GGACPR - SA/BR - (PC-Steam),BR,Guilty Gear XX Accent Core Plus R,"<a href='https://www.twitch.tv/videos/1749994669'>VOD 1</a>, <a href='https://www.youtube.com/watch?v=vh97l6iZv6c&ab_channel=BOBLEIS'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-br/overview,Full Tourney,Rymaru (@RymaruMaster),<b>VAL</b> | Giogio (@MurioMelee),<b>PANELA</b> | Nikki (@nikki_slash),<b>UA</b> | Receita Federal (@MillerRobert1)
GGACPR - SA/SUD - (PC-Steam),SUD,Guilty Gear XX Accent Core Plus R,"<a href='https://www.twitch.tv/videos/1734574794'>VOD</a>, <a href='https://youtu.be/LxSi47bfxIA'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-sud/overview,Full Tourney,Zion (@IXionI),st0nks (@stonks64),Empresario,El_Kuzu
GGACPR - SEA - (PC-Steam),SEA,Guilty Gear XX Accent Core Plus R,<a href='https://www.youtube.com/watch?v=MnqLMemAifg&ab_channel=AirdasherSEA'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/guilty-gear-xx-accent-core-plus-r-sea/overview,Full Tourney,Amphyxvena,0re0z (@5han3G0rez),<b>ADSEA </b> | VGD,Little Skyfarer
JCFF - ALL - (PC-Fightcade),ALL,Jackie Chan in Fists of Fire,"<a href='https://youtu.be/8IOK3Ga74fM'>VOD</a>, <a href='https://youtu.be/8IOK3Ga74fM'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/jackie-chan-in-fists-of-fire-global/overview,Full Tourney,Spabobin (@TsuguSpabobin),<b>FSM</b> | RCF,Sinistar (@realSinistar),MooMaster (@MooMasterFHD)
JJBAASBR - NA - (PC-Parsec),NA,JoJo's Bizarre Adventure: All Star Battle R,<a href='https://www.youtube.com/watch?v=zbwytMATv2Q'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/jojo-s-bizarre-adventure-all-star-battle-r-na/overview,Full Tourney,<b>SJRC</b> | J_Underscore (@liquidsnxke),<b>14K</b> | Son_Dula (@Son_Dula),<b>SJRC</b> | Bonbei (@Bonbei_XRD),Wendy Williams (@Vanta_No)
HFTF - NA - (PC-Fightcade),NA,JoJo's Bizarre Adventure: Heritage for the Future,<a href='https://youtu.be/nTXq5q6ann8'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/jojo-s-bizarre-adventure-heritage-for-the-future-na/overview,Full Tourney,ProjectPotato,A Mongol,argentsoul,Scythepods
KLK - NA+SA - (PC-Steam),"NA, SA",Kill La Kill -IF Restitched,"<a href='https://www.twitch.tv/videos/1755780826'>VOD 1</a>, <a href='https://www.twitch.tv/videos/1755879719'>VOD 2</a>",https://www.start.gg/tournament/vortex-gallery-online-2023/event/kill-la-kill-if-restitched-na-sa/overview,Top 8,AthenaDiva,BennyBoi,RevivePhoenix,ActionSak32
KOIHIME - SA/BR - (PC-Steam),BR,Koihime Enbu RyoRaiRai,<a href='https://www.youtube.com/watch?v=06mzyGAAEgA'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/koihime-enbu-ryorairai-br/overview,Full Tourney,Razor,General Ell,Mordon,Mandaloriano (mandaloriano_95)
LAND - ALL - (PC-Fightcade),ALL,Landmaker,<a href='https://www.youtube.com/watch?v=kFmXL2fD4iA'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/landmaker-global/overview,Full Tourney,<b>QCS</b> | ywy (@yowaikoi),<b>PW</b> | Ratttz (@RatttzMessd),<b>QCS</b> | cybrained,Yippee! (@YippeethePerson)
LLB - ALL - (PC-Steam),ALL,Lethal League Blaze,<a href='https://www.youtube.com/watch?v=Hy6a97ux8Zw'>VOD</a>,https://www.start.gg/tournament/vortex-gallery-online-2023/event/lethal-league-blaze-global/overview,Full Tourney,B3B3,Based Registeel,Arcadia,Cactos
